Kommune	Videreg_udd	Indt_indkskat	Folkeskudg_elev	Pct_prv_sk_elev	Region
Koebenhavn	51.7	40004	70312	26.5	Hovedstaden
Frederiksberg	58.4	49706	60815	21.2	Hovedstaden
Ballerup	29.9	45420	71167	12.0	Hovedstaden
Broendby	21.4	36937	86675	21.5	Hovedstaden
Dragoer	36.6	54041	61534	2.5	Hovedstaden
Gentofte	58.8	69664	54277	25.8	Hovedstaden
Gladsaxe	41.0	43183	78133	22.0	Hovedstaden
Glostrup	26.4	41512	74393	13.3	Hovedstaden
Herlev	29.9	40611	66906	19.0	Hovedstaden
Albertslund	27.6	38930	81743	14.4	Hovedstaden
Hvidovre	28.0	42485	70084	12.2	Hovedstaden
Hoeje-Taastrup	24.1	39189	83855	22.9	Hovedstaden
Lyngby-Taarbaek	55.3	56648	62313	12.8	Hovedstaden
Roedovre	29.7	42646	79640	13.1	Hovedstaden
Ishoej	20.4	34908	90030	22.3	Hovedstaden
Taarnby	23.4	39670	68154	9.4	Hovedstaden
Vallensbaek	30.4	41666	63146	8.5	Hovedstaden
Furesoe	49.4	55967	71098	15.9	Hovedstaden
Alleroed	46.2	53272	77018	9.6	Hovedstaden
Fredensborg	38.0	50699	75425	23.3	Hovedstaden
Helsingoer	31.6	45698	68372	15.9	Hovedstaden
Hilleroed	37.3	47972	66310	21.7	Hovedstaden
Hoersholm	49.3	65168	58910	24.2	Hovedstaden
Rudersdal	55.8	63821	63845	13.3	Hovedstaden
Egedal	31.2	49102	66721	11.8	Hovedstaden
Frederikssund	25.7	43888	70859	20.2	Hovedstaden
Halsnaes	21.5	40673	81346	20.7	Hovedstaden
Gribskov	26.4	43255	80227	30.9	Hovedstaden
Bornholm	21.1	38849	68343	33.0	Hovedstaden
Greve	25.7	43827	64848	14.4	Sjaelland
Koege	23.7	41734	64493	15.4	Sjaelland
Roskilde	37.3	47483	71761	15.3	Sjaelland
Solroed	28.0	49181	56770	15.8	Sjaelland
Odsherred	18.4	40881	76370	21.5	Sjaelland
Holbaek	24.9	39777	62780	28.1	Sjaelland
Faxe	19.4	39924	59100	19.2	Sjaelland
Kalundborg	18.3	39206	68717	24.1	Sjaelland
Ringsted	23.1	41923	66426	27.3	Sjaelland
Slagelse	22.1	36766	66263	21.6	Sjaelland
Stevns	20.8	40008	65051	27.8	Sjaelland
Soroe	25.8	42177	63794	20.7	Sjaelland
Lejre	30.4	45107	59790	19.1	Sjaelland
Lolland	15.3	40697	71661	29.4	Sjaelland
Naestved	23.6	38986	67051	16.0	Sjaelland
Guldborgsund	20.9	38526	63972	17.0	Sjaelland
Vordingborg	22.5	37226	60120	25.0	Sjaelland
Middelfart	27.1	42731	61205	20.2	Syddanmark
Assens	22.6	38634	63049	19.1	Syddanmark
Faaborg-Midtfyn	22.5	38729	74304	33.6	Syddanmark
Kerteminde	22.9	40513	71123	12.3	Syddanmark
Nyborg	22.9	39480	72175	33.9	Syddanmark
Odense	36.2	37481	65257	20.4	Syddanmark
Svendborg	29.4	40171	72990	23.0	Syddanmark
Nordfyn	20.1	38145	63112	11.7	Syddanmark
Langeland	15.9	39831	92270	13.9	Syddanmark
aeroe	23.0	39294	66841	15.8	Syddanmark
Haderslev	23.2	39543	70058	22.8	Syddanmark
Billund	19.0	40009	67590	14.6	Syddanmark
Soenderborg	25.8	40307	73673	23.3	Syddanmark
Toender	17.5	36259	71764	26.0	Syddanmark
Esbjerg	27.0	41389	70525	11.9	Syddanmark
Fanoe	39.2	42022	70149	3.5	Syddanmark
Varde	20.5	38703	75337	8.6	Syddanmark
Vejen	19.0	36853	67283	9.7	Syddanmark
Aabenraa	20.5	38044	66814	17.2	Syddanmark
Fredericia	23.9	40958	60748	15.1	Syddanmark
Kolding	28.3	39874	49224	19.2	Syddanmark
Vejle	30.1	38262	69101	19.8	Syddanmark
Horsens	26.8	38032	64927	15.8	Midtjylland
Herning	24.3	38153	64975	15.2	Midtjylland
Holstebro	26.3	38957	61781	16.2	Midtjylland
Lemvig	21.2	40650	73450	14.0	Midtjylland
Struer	21.9	38520	69962	6.9	Midtjylland
Syddjurs	26.3	39198	72162	20.8	Midtjylland
Norddjurs	16.7	37250	71640	14.5	Midtjylland
Favrskov	30.0	40780	60338	10.9	Midtjylland
Odder	29.5	40230	63567	26.3	Midtjylland
Randers	22.6	38039	68202	23.9	Midtjylland
Silkeborg	29.8	40889	60108	12.6	Midtjylland
Samsoe	23.5	39500	97442	38.4	Midtjylland
Skanderborg	35.1	43505	60896	11.9	Midtjylland
Aarhus	46.7	40914	69809	16.4	Midtjylland
Ikast-Brande	20.0	37102	69149	12.2	Midtjylland
Ringkoebing-Skjern	20.4	38639	68208	18.8	Midtjylland
Hedensted	20.0	39402	69497	11.4	Midtjylland
Skive	20.8	38265	60064	6.4	Midtjylland
Viborg	26.6	39460	63586	14.4	Midtjylland
Morsoe	16.4	38057	73698	29.2	Nordjylland
Thisted	19.0	38065	66240	15.1	Nordjylland
Broenderslev	22.8	38693	64315	7.5	Nordjylland
Frederikshavn	18.7	40209	73516	13.0	Nordjylland
Vesthimmerland	18.5	38711	68700	18.5	Nordjylland
Laesoe	16.7	39846	88255	0	Nordjylland
Rebild	28.2	40024	63738	8.7	Nordjylland
Mariagerfjord	21.4	39193	73174	14.9	Nordjylland
Jammerbugt	19.8	37870	66628	8.3	Nordjylland
Aalborg	35.7	39088	74317	12.8	Nordjylland
Hjoerring	22.6	38519	63092	19.7	Nordjylland